Package Name,Version
apache-commons-jexl,2.1.1
apache-commons-jxpath,1.3
apache-commons-lang3,3.18.0
apache-commons-logging,1.3.5
apache-commons-math,3.6.1
apache-commons-net,3.9.0
apache-commons-ognl,4.0~20191021git51cf8f4
apache-commons-parent,71
apache-commons-pool,1.6
apache-commons-pool2,2.4.2
apache-commons-text,1.10.0
apache-commons-validator,1.5.0
apache-commons-vfs2,2.10.0
apache-ivy,2.5.3
apache-log4j-extras,1.2.17.1
apache-logging-parent,5
apache-parent,37
apache-pdfbox,2.0.29
apache-portlet-1_0-api,1.0
apache-rpm-macros,20201124
apache-rpm-macros-control,20151110
apache2,2.4.63
apache2-devel,2.4.63
apache2-event,2.4.63
apache2-manual,2.4.63
apache2-mod_auth_gssapi,1.6.5
apache2-mod_auth_mellon,0.19.1
apache2-mod_auth_openidc,2.4.17.1
apache2-mod_authn_otp,1.1.11
apache2-mod_evasive,1.10.1
apache2-mod_fcgid,2.3.9
apache2-mod_jk,1.2.50
apache2-mod_maxminddb,1.2.0
apache2-mod_perl,2.0.13
apache2-mod_php8,8.4.17
apache2-mod_security2,2.9.11
apache2-mod_wsgi,5.0.2
apache2-prefork,2.4.63
apache2-utils,2.4.63
apache2-worker,2.4.63
apcupsd,3.14.14
apfel,3.1.1
apfsprogs,0~git493
apg,2.2.3
apiguardian,1.1.2
apitrace,10.0
apk-tools,2.14.4
apparmor,4.1.1
apparmor-rpm-macros,1.0
appframework,1.03
appres,1.0.7
appstream-glib,0.8.3
apptainer,1.3.0
appx-util,0.5
apr,1.7.5
apr-util,1.6.3
aqbanking,6.5.4
aquamarine,0.5.1
aqute-bnd,6.4.1
arabic-fonts,0.20161120
arandr,0.1.11
aravis,0.8.33
arcanist,0.0~git.20220517T162014~85c953e
arch-install-scripts,28
archivemount-ng,1a
archmage,0.4.2.1
ardour,8.12.0
argon2,20190702
argparse,3.2
args4j,2.33
argus,3.0.8.3
argus-client,3.0.8.2
argyllcms,3.3.0
aria2,1.37.0
arianna,25.04.3
arj,3.10.22
ark,25.04.3
arm-trusted-firmware,2.10.14
arm-trusted-firmware-a80x0_mcbin,2.10.14
arm-trusted-firmware-imx8mm,2.10.14
arm-trusted-firmware-imx8qm,2.10.14
arm-trusted-firmware-imx8qx,2.10.14
arm-trusted-firmware-poplar,2.10.14
arm-trusted-firmware-qemu,2.10.14
arm-trusted-firmware-qemu_sbsa,2.10.14
arm-trusted-firmware-rk3328,2.10.14
arm-trusted-firmware-rk3368,2.10.14
arm-trusted-firmware-rpi3,2.10.14
arm-trusted-firmware-rpi4,2.10.14
arm-trusted-firmware-sun50i_a64,2.10.14
arm-trusted-firmware-sun50i_h6,2.10.14
arm-trusted-firmware-sun50i_h616,2.10.14
arm-trusted-firmware-tegra186,2.10.14
arm-trusted-firmware-tegra210,2.10.14
arm-trusted-firmware-zynqmp,2.10.14
armadillo,14.0.1
arp-scan,1.10.0
arpack-ng,3.9.1
arphic-fonts,20001125
arphic-ukai-fonts,0.2.20080216.1
arphic-uming-fonts,0.2.20080216.1
arping2,2.25
arprec,2.2.17
arpwatch,3.6
arpwatch-ethercodes,20241212
art-ctlscripts,1.0.1
artem,3.0.0
arti,1.2.5~0
artifacts,20221219
artikulate,25.04.3
asar,3.2.13
asciidoc,10.2.1
asciinema,2.4.0
asclock,2.0.12
asco,0.4.11
aseqview,0.2.8
asio,1.30.2
asl,1.42_bld232
aspell,0.60.8.1
aspell-dictionaries,0.50.6
aspell-en,2020.12.07
assertj-core,3.27.7
assimp,5.4.3
ast-grep,0.28.0+0
asteroids3D,1.0
astyle,3.4.13
asymptote,2.90
at,3.2.5
at-spi2-core,2.58.3
atftp,0.8.0
atheme,7.2.12
atinject,1+20211017gitd06ce18
atinout,0.9.1
atkmm,2.36.3
atkmm1_6,2.28.3
atmel-firmware,1.3
atomix,44.0
atop,2.11.1
atril,1.28.0
attica-qt5,5.116.0
attr,2.5.2
atuin,18.3.0
aubio,0.4.9
audacity,3.7.4
audaspace,1.7.0
audex,25.04.3
audio-recorder,3.3.4
audioclock,1.3.1
audiofile,0.3.6
audiotube,25.04.0
audiowmark,0.6.2
audit,4.0
audit-secondary,4.0
audit-visualize,1.5.2
augeas,1.14.1
aurorae6,6.4.2
auto,1.6.1
autoconf,2.72
autoconf-archive,2023.02.20
autoconf-el,2.72
autoconf213,2.13
autocutsel,0.10.1
autofs,5.1.9
autogen,5.18.16
autojump,22.5.3
automake,1.18.1
autorandr,1.15.0.1709469470
autotrace,0.31.1
autotrash,0.4.6
autoyast2,5.0.8
avahi,0.8
avahi-glib2,0.8
avahi-qt6,0.8
avalon-framework,4.3
avalon-logkit,2.1
avfs,1.1.5
avgtime,v0.5.0+4.ffdf200
avogadro,1.100.0
avogadrolibs,1.100.0
avr-libc,2.1.0
avrdude,8.0
awesfx,0.5.2
awesome,4.3
awesome-vicious,2.6.0
awf-gtk2,3.1.0
awf-gtk3,3.1.0
awf-gtk4,3.1.0
aws-c-auth,0.7.31
aws-c-cal,0.7.4
aws-c-common,0.9.28
aws-c-compression,0.2.18
aws-c-event-stream,0.4.2
aws-c-http,0.8.10
aws-c-io,0.14.18
aws-c-mqtt,0.10.6
aws-c-s3,0.6.6
aws-c-sdkutils,0.1.19
aws-checksums,0.1.20
aws-crt-cpp,0.28.3
aws-efs-utils,2.0.3
aws-nitro-enclaves-cli,1.4.3~git0.82501bb
axel,2.17.14
axis,1.4
ayatana-ido,0.9.2
azote,1.13.1
azove,2.0
azure-vm-utils,0.4.0
b3sum,1.5.4
b4,0.14.2
b43-fwcutter,019
babelstone-han-fonts,16.0.2
babelstone-marchen-fonts,9.003
babelstone-ogham-fonts,20220314
babelstone-runic-fonts,20131112
babeltrace,1.5.8
babeltrace2,2.1.0
babl,0.1.114
backintime,1.5.3
backupninja,1.2.2
baekmuk-bitmap-fonts,2.2
baka-mplayer,2.0.4
baloo-widgets,25.04.3
balsa,2.6.4
bam,0.5.1
bamf,0.5.6
bandicoot,1.13.0
bandwidth,1.11.2b
baobab,48.0
barcode,0.99
barrel,0.2.8
barrier,2.4.0
barvinok,0.41.7
base64coder,20101219
baseiso-agama-installer-Leap_16.1,19.pre.0.0
baseiso-containment,0.2.7
bash,5.2.37
bash-completion,2.12.0
bash-completion-doc,2.12.0
bash-git-prompt,2.7.1
bat,0.24.0
bats,1.11.1
bazel8,8.0.1
bb,1.3~rc1
bc,1.07.1
bcache-tools,1.1+git37.a5e3753
bcachefs-tools,1.20.0
bcal,2.4
bcc,0.36.0
bcel,6.10.0
bcel5_3,5.3
bcftools,1.19
bcg729,1.1.1
bcm20702a1-firmware,1201650
bcm43xx-firmware,20180314
bcmatroska2,5.3.36
bctoolbox,5.3.105
bcunit,5.3.36
bdfresize,1.5
bdftopcf,1.1.2
bea-stax,1.2.0
bean-validation-api,2.0.1
bees,0.10
beets,2.2.0
beforelight,1.0.6
belcard,5.3.105
